created_at,author_id,geo,text
2022-06-02 23:36:39+00:00,1349149096909668363,,"This isn’t about taking away anyone’s rights.

It’s about protecting children. It’s about protecting families. It’s about protecting communities.

It’s about protecting our freedoms to go to school, to a grocery store, to go to church without being shot and killed."
2022-06-02 23:31:39+00:00,1349149096909668363,,"Tonight, I’m addressing the nation on the recent tragic mass shootings, and the need for Congress to pass commonsense laws to combat the epidemic of gun violence. https://t.co/qkMEGKhsqH"
2022-06-02 23:02:23+00:00,1349149096909668363,,"I met with NATO Secretary General Stoltenberg today to discuss the upcoming Madrid Summit. The U.S. and our Allies will strengthen NATO’s deterrence and defense and tackle new challenges, from cyber to climate change. https://t.co/gZk0C0Xorg"
2022-06-02 19:45:56+00:00,1349149096909668363,,"My plan to tackle inflation is simple:

- Let the Fed do its job
- Lower everyday costs for Americans
- Keep reducing the deficit

By taking these steps — and with Congress taking action — we can build a sustained recovery that benefits all Americans."
2022-06-02 17:00:27+00:00,1349149096909668363,,"I’ve got an update on our efforts to bring more infant formula to the United States: We secured another 6.5 million bottles of safe infant formula from Nestlé. That means as of today, 94.5 million bottles of safe infant formula are heading to U.S. shelves. https://t.co/1s4A5CphpB"
2022-06-02 12:46:19+00:00,1349149096909668363,,"Jill and I wish Your Majesty a joyful Platinum Jubilee celebration. On behalf of the United States, congratulations to Queen Elizabeth II on an unprecedented 70 years of service to the UK and Commonwealth and thank you for your friendship to the American people. https://t.co/mwaZSYBuhZ"
2022-06-01 22:30:01+00:00,1349149096909668363,,"Third, the Food and Drug Administration is reviewing applications for other new, high-quality imports to increase our supply.
 
We still have work to do, but we are making critical progress."
2022-06-01 22:30:01+00:00,1349149096909668363,,"Second, I launched Operation Fly Formula. A major effort to air-lift infant formula that meets American health and safety standards.
 
Today, I’m proud to say that because of these flights, high-quality formula is already on its way to American shelves."
2022-06-01 22:30:01+00:00,1349149096909668363,,"We’ve taken three key actions.
 
First, I invoked the Defense Production Act. A measure to make sure that manufacturers are first in line for the materials and ingredients they need to make safe, high-quality infant formula here at home."
2022-06-01 22:30:00+00:00,1349149096909668363,,"As a father and a grandfather, I understand how difficult the formula shortage has been for families all across the country.
 
It’s why I’ve directed my Administration to use every tool available to increase supply and get more formula on shelves as quickly as possible."
2022-06-01 21:24:53+00:00,1349149096909668363,,"Today, I’m announcing plans for our third and fourth Operation Fly Formula missions.
 
These flights will bring 3.7 million bottles of Kendamil formula and 4.6 million bottles of Bubs Australia infant formula."
2022-06-01 20:46:36+00:00,1349149096909668363,,"Today, we remember the hell unleashed 101 years ago in Tulsa, where Greenwood was raided, firebombed, and destroyed by a violent white supremacist mob. It wasn’t a riot, it was a massacre. We must continue to reckon with the past and work to build a more just future."
