created_at,text
2022-07-01 22:25:14+00:00,Blanket rulings that effect millions and dont take into account the complexities of healthcare are BAD. They rally against abortion based on a mythical woman that has sex with different men all day and has abortions monthly without a care. She doesnt exist. Stop hurting us. 
2022-07-01 19:49:09+00:00," So if the dog barks, what's the next step? Forbidding a pregnant woman from flying? Are all pregnant women going to be assumed  to be  flying to get an abortion?"
2022-07-01 19:45:19+00:00,"

Just four days after the Supreme Court had silenced women on their abortion rights, former White House aide Cassidy Hutchinson insisted to be heard."
2022-07-01 19:00:49+00:00,"      They're not included because, they're not abortions. Spreading lies like this is what's hurting woman, making them fear medical attention. Hospitals don't even code ectopic pregnancy and miscarriages as abortion."
2022-07-01 18:36:56+00:00," This is your case for legalizing abortion nationwide? No wonder you're scared.
""We can't limit immigration or, put an end to sanctuary cities, guess we'll just shoot the homeless."""
2022-07-01 12:18:21+00:00,"

Some clergy have long helped women seeking abortions but they've been ""drowned out by a very fringe belief,"" one reverend said of abortion opponents."
2022-07-01 01:09:32+00:00,"Im someone that believes in letting people hang themselves. Now that the religious right has outlawed abortion, lets tax them and raise the taxes on the top 1% to pay for social services for all these lives theyve saved!"
2022-06-30 17:31:32+00:00,  8 weeks ago I advised my daughter &amp; nieces to speak with their doctor about getting a script for the abortion pill to have on hand in case they needed it. Several followed my advice.
2022-06-30 15:53:45+00:00,"

The U.S. Supreme Court, in the aftermath of its decision last week to overturn the landmark Roe v. Wade ruling that legalized abortion nationwide, on Thursday ..."
2022-06-30 15:52:30+00:00,"

Nearly a week after the Supreme Court overturned Roe v. Wade, the president said he would support getting rid of the filibuster rule in order for Congress to c..."
2022-06-30 14:32:58+00:00,Breaking News: President Biden condemned the Supreme Court for overturning Roe v. Wade and said he would back ending the filibuster to codify abortion rights. NYT
2022-06-30 13:57:58+00:00,"

President Joe Biden said Thursday that the Supreme Court's decision ending a constitutional right to abortion is destabilizing,"" but he maintained the ruling ..."
2022-06-30 13:26:06+00:00,"anti-abortion. I'm done with the Democratic party. I'm done with it all. I'll support individual candidates if they prove they mean what they say and are actual progressives but other than that, count me out.      
"
2022-06-30 13:01:53+00:00,"Once again. . Abortion go UP when  is banned. If you truly care about the lives of the unborn, you make abortion *legal*. 

NO. The """" is NOT an . It stops the sperm from meeting the egg. 2/ angry tirade"
2022-06-30 12:56:47+00:00,"...who for decades said folks against abortion didn't care about moms and kids? They're the FIRST ones out here talmbout ""cracking down"" on crisis centers &amp; don't know jack shit about how adoption/foster care systems actually work. While they lag behind in action on those fronts."
2022-06-30 12:56:47+00:00,"Correct. Look, abortionists don't give a damn about adoption/foster kids. Like that stooge on my TL showed us yesterday, it's just supposed to be a cheap dunk (that doesn't even work because folks against abortion already picked up that gauntlet long ago). It's ironic--the ppl... "
2022-06-30 02:31:16+00:00, John I want more abortion control NOT gun control !!
2022-06-30 01:53:48+00:00,"So, America is just giving up on the whole freedom and liberty thing now? 

The Washington Post: Antiabortion lawmakers want to block patients from crossing state lines.


via "
2022-06-30 00:37:55+00:00,"Abortion is a hot topic, but it is important to remember what being pro-life if really about and that means all life. We should be reaching out to our representatives in Texas to end the death penalty and value life from conception to natural death."
