created_at,text
2022-07-08 21:51:02+00:00,"I just wrote a letter to my state legislators with  's campaign: ""Stop the Legislature's Attack on Abortion and Our Constitution."" Join me in taking action NOW to stop this attack on our constitution: "
2022-07-08 20:49:55+00:00, .Abortion is murder
2022-07-08 19:51:46+00:00,Biden executive order on abortion today shows that the man have no respect for our laws. The supreme court have ruled that abortion is a state matter. He don't have to do anything. Joe Biden is dangerous for America.
2022-07-08 19:43:22+00:00," Attention Pennsylvanians!!  

SB596, the anti abortion amendment to Pas state constitution is now SB106.

 It also now includes many other aspects to grab more power away from Pennsylvania voters and to weaken our states electoral integrity."
2022-07-08 19:18:04+00:00,"    Either way, tough shit. Executive order is in action. If you dont like abortion then I have great news for you- you will never need one."
2022-07-08 19:06:07+00:00,  Because SCOTUS decision correctly held it was not the proper forum to create a rule addressing the issue. Congress and state legislatures possess the power to enact laws that reflect their consensus on abortion. SCOTUS is not elected. Target Congress for decades of inaction.
2022-07-08 14:52:56+00:00," The problem as I see it is that the runnels of the actually-existing policy debates make the ""abortion is bad"" position flow into approval (or simple tolerance) of the criminalization that just happened more readily than it's allowed to function as an argument for welfare"
2022-07-08 14:51:39+00:00,"Today  Noon

PA Democratic House and Senate members will be joining together in Harrisburg to condemn the GOP and their midnight motion to pass an amendment ending abortion in PA. Today On the Capitol Steps! "
2022-07-08 14:45:56+00:00," But SCOTUS just made abortion a huge liability for every R, esp even moderate Rs, which w PHLBlkFs, thats just a red line that cant be crossed. Its mandatory that you be prochoice to win any big city Mayors office now. All an R has to do is split the blkvote by a min 2%-3% too"
2022-07-08 14:41:33+00:00, The fix is not to murder the unborn children! They have a right to live. Responsible couples should take precautions against unwanted pregnancies all the time. Abortion should NEVER be considered a convenience and aid should be provided to raise any unwanted children!
2022-07-08 13:55:53+00:00,Yeah this is why banning abortion is dumb 
2022-07-08 12:59:35+00:00,"Im attending Womens Marchs event, Defend Abortion Rights Online - Digital Defenders Training  sign up now to join me!  "
2022-07-08 12:09:42+00:00, Secular Talk with Kyle Kulinski- Period Tracking Apps Could Lead To Abortion Prosecution.
2022-07-08 11:40:26+00:00,"PA is one of the most highly restricted states where abortion access is still legal.

Western Pennsylvania Fund for Choice  (Pittsburgh) 


Abortion Liberation Fund of PA (Philly) 
 
 "
2022-07-08 04:42:52+00:00,"While you were sleeping Repubs pulled a fast one to force an anti-abortion constitutional amendment at midnight. Most Pennsylvanians  support access to abortions.

These are the first steps to make abortion illegal in PA putting the health &amp; lives of women at risk. "
2022-07-07 22:54:04+00:00,"Health Care  House GOP considering national abortion restrictions
"
2022-07-07 22:28:04+00:00,"Today we wake up in a state where the church doors are open &amp; the abortion clinics doors are closed.

All the Glory to God the Father!
Amen!

This is not a tweet from a pastor. This is a tweet from the GOV OF MISSISSIPPI

ChristoFascists are feeling more emboldened than ever"
2022-07-07 05:13:09+00:00,"The ChristoFascist Judge who allowed the Mississippi abortion ban to go into effect began the hearing with a Christian pastor praying:

Lord, we seek your truth, not our own

Seeking not the US Constitution. Not the rule of law

But the Lord of Evangelical Christians

Wowzers"
2022-07-06 23:20:42+00:00,Roe V Wade being overturned means that states need to protect abortion rights. In Pennsylvania that means flipping red seats to blue.  has spent her career championing reproductive rights in PA. Join me in canvassing for Melissa at  
2022-07-06 22:03:39+00:00,RSVP for ACLU People Powers Abortion Activist Series to learn how you can defend abortion access this summer and beyond! 
2022-07-06 21:56:58+00:00,RSVP for ACLU People Powers Abortion Activist Series to learn how you can defend abortion access this summer and beyond! 
2022-07-06 21:49:56+00:00,RSVP for ACLU People Powers Abortion Activist Series to learn how you can defend abortion access this summer and beyond! 
2022-07-06 20:11:32+00:00,"Lets look to real historical precedents, not Alitos imaginary kinds.  writes there is a long American tradition of defending pluralism and protecting those who seek the road less traveled. Lets keep doing that. "
2022-07-06 19:16:46+00:00," Hey Scott. Big fan. I decided you're right. I really really need to kill my son. But he's in the 68th trimester &amp; abortion is immoral. Any suggestions? I have lots of guns, is firing squad best? Or is it more humane to let him put a gun in his own mouth? What are my best options?"
2022-07-06 18:58:20+00:00,Protecting the right to have an abortion in PA means flipping red seats to blue and having a Democratic-run PA House. Met  an extraordinary candidate who will champion expanding reproductive rights in PA. Join me in canvassing for Melissa at  
2022-07-06 18:48:31+00:00,"Sickening

Supreme Court Justices have been praying with right-wing, anti-abortion religious extremists with cases before the Court

The 6 ChristoFascists on the Court have ruled in the extremists favor again and again

Separation of church and state has become a bloody joke"
2022-07-06 17:01:08+00:00,"      The definition of abortion is now at conception, rather than at the first electrical pulse that can be detected. According to law makers."
2022-07-06 16:27:39+00:00,"I've spent weeks compiling this deep dive. Enjoy? 
"
2022-07-06 12:09:02+00:00,N.J. Gov. Murphy signs bills protecting abortions for out-of-staters: 
2022-07-06 10:52:51+00:00, Democrats can also win in states and protect abortion there.
2022-07-06 02:07:22+00:00,"A pretty bad day for journalism IYAM. 

A little classic racism, a touch of transphobia, a reporter parroting copaganda from the actual head of the FOP, and NPR apparently forgetting an abortion doctor's ""death"" was actually murder. "
2022-07-06 01:47:22+00:00,"A 2-year-old lost BOTH of his parents in the Highland Park massacre

A 10-year-old rape victim was denied an abortion in Republican Ohio

9-year-olds were decapitated in Uvalde

Republicans: dont you dare say you are pro-life or care about kids

You dont give a single fuck"
2022-07-06 00:31:28+00:00,"    Using inclusive language when talking about the portion of the populace as a whole that may need abortion access doesnt stop me from calling myself a woman or identifying as one. It doesnt stop anyone from doing so, and I wouldnt dream of telling someone they need to stop 4/"
2022-07-06 00:29:55+00:00,"    term women excludes many people who may at some point need an abortion. Thats why, when discussing abortion policy, using the word women doesnt make sense. I can call myself a woman  which I do  and still recognize that abortion isnt exclusively a womens issue. 3/"
2022-07-06 00:02:57+00:00,     It is a form of abortion
2022-07-05 23:09:57+00:00,"   What do you mean by this? Your intention isnt clear to me. Im disabled, and I have no problem being referred to as disabled. I also have no problem with being referred to as someone who is affected by abortion bans because of the organ that may cause me to need an abortion."
2022-07-05 23:03:02+00:00,"   Its not how you identify, but its the reason that abortion access is something you may need. Its not a womens issue because identifying as a woman isnt the reason someone may need an abortion. Having a uterus is. Your identity cant get pregnant. Your uterus can."
