created_at,text
2022-05-26 12:45:54+00:00,"They have a terrible answer for everything.

School shooting -Gun control isnt the answer

Free &amp; fair election - We need stricter voter ID laws

Women have bodily autonomy - were pro life no matter what

Mental illness causes mass shooting - we have resources in place. "
2022-05-26 12:05:41+00:00,"Here in lies the problem
This year, only 36% of Americans said they were dissatisfied and wanted stricter gun control laws. 61% were either satisfied (41%), dissatisfied but wanted less strict laws (13%) or dissatisfied and wanted no change (7%)
"
2022-05-26 12:04:11+00:00,It's not even close to the majority but it's those folks the right demonizes to avoid action on gun control. I also used to believe that guns should be owned to overthrow a tyrannical government. One day I realized it's not the 17th or 19th century anymore.
2022-05-26 11:47:32+00:00,"Voting for gun control in the fall doesn't cut it.

Today, tomorrow, &amp; everyday you can:

Vote w/ your $$, skip your $8 latte &amp; donate to a candidate

Vote w/ your time, skip rewatching your fav show &amp; volunteer for a campaign

   "
2022-05-26 09:37:40+00:00,      No you are racist because you don't want minorities to have the means to firearms. Your world maybe safe but some people's are not. You wanna expand gun control when you haven't even looked up how gun control started. I'll give you a hint it was with racist intent.
2022-05-26 04:06:37+00:00,    Jeezus horse tooth he was killed by freaking muslim terrorist. Exactly how does his dad getting killed by muslims I. Lebanon have to do with a American constitutional right? Kerr is the dumbest wanna be poster boy for gun control in America
2022-05-26 03:29:32+00:00, They let the kid in the school for almost an hour. Pretty stupid! Stop worrying about our border and start fixing things  with gun control. Stop voting these guys in office who never vote to  stop the sale of assault weapons.  They kill people! Get rid of Governor  Abbott. !!!
2022-05-26 01:09:02+00:00,"This is so stupid. So many of you find so many excuses to NOT support heavier gun control. ""But bad people will always find a way"". So put speedbumps and make it more difficult for them. "
2022-05-25 22:18:21+00:00,   Dont give a fuck he DOESNT speak for me or the majority of anything. Gun control is an oxymoron. There is no such thing and if u had a brain of any sort u would know that.
2022-05-25 22:16:55+00:00,"This is the perfect opportunity for Mayor  to put the city of Houston at the forefront of gun control...

...but he won't do it!!! -     "
2022-05-25 21:07:58+00:00,"I exercise my 2nd Amendment rights. However, idk if I missed it. But did Abbott completely pretend that mental illness is solely this issue here? I dont recall him even mentioning gun control not once in his speech "
2022-05-25 20:58:08+00:00,I understand the argument for gun control and issues regarding mental illness. Red or blue. Doesnt matter which side you sit on. Something needs to change now. The moment of silence stops now. Our kids deserve way more than this. 
2022-05-25 18:07:12+00:00, well until we find out why all these shootings are happening why dont we do common sense gun control? Why dont we put money towards mental health? Why dont YOU do something other then take a fat NRA check? 
2022-05-25 18:05:23+00:00,FUCK GUN CONTROL 
2022-05-25 17:32:27+00:00,"Even if your senators support gun control. Call anyway. It takes 5 minutes, you can use this script and find your senators at the link. 

They work for us. This is the job. Make them do it. 

And dont forget to VOTE.  "
2022-05-25 17:24:09+00:00, the Mayor Don Mcglaulin misses the mark. Denounces the notion of gun control for more mental health support. How about both. In what sane society should an 18 year old be able to buy a weapon of mass destruction.
2022-05-25 16:46:24+00:00, Ted Cruz is a Baby Killing Republican.  They only way to pass gun control is to remove them from power.
2022-05-25 16:39:38+00:00,We gotta stop asking how these people got guns. In Ozarks one kid had someone buy them a gun and the salesperson helped. That's easy for most. Let's stop being ignorant. Only way is to limit access is gun control.
2022-05-25 15:03:16+00:00," Maybe Georgia has better gun control, we do not. "
2022-05-25 14:38:45+00:00, We must defeat on every level Baby Killing Republicans so we can pass gun control.
2022-05-25 14:29:43+00:00,"Will Americans ever learn?   
Jim Jefferies -- Gun Control (Part 1) from BARE -- Netflix Special  via "
2022-05-25 13:29:10+00:00," I know the argument will be the slippery slope of gun control. But I am with youwe have to do something. What are we willing to sacrifice to make this better? To me, high capacity semi-autos is a small sacrifice."
